Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue
ANXA3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.478447256,0.113778845,-4.205063376,175,4.16E-05,0.000215032
ANXA4_MOUSE,B6_T0_fasted - B6_T0_fed,-0.423355776,0.17054725,-2.482337153,278,0.013642956,0.032973477
ANXA5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.133915704,0.093319668,-1.435021216,225,0.152669614,0.254033363
ANXA6_MOUSE,B6_T0_fasted - B6_T0_fed,-0.144628787,0.12043545,-1.200882189,199,0.231224332,0.3535918
ANXA7_MOUSE,B6_T0_fasted - B6_T0_fed,0.075164799,0.108853484,0.690513487,89,0.491668243,0.613998788
AOFA_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AOFB_MOUSE,B6_T0_fasted - B6_T0_fed,1.356325835,0.255832013,5.301626718,176,3.41E-07,2.69E-06
AOXA_MOUSE,B6_T0_fasted - B6_T0_fed,1.185620012,0.283608259,4.180484785,84,7.10E-05,0.000342278
AP1B1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.445541016,0.323715609,-1.376334671,183,0.170399811,0.277428294
AP1G1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.792463659,0.084423691,-9.386744955,65,1.04E-13,2.84E-12
AP1M1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.121715062,0.112629116,-1.080671374,80,0.283090403,0.411278048
AP1S1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AP2A1_MOUSE,B6_T0_fasted - B6_T0_fed,0.23967693,0.126429992,1.895728426,134,0.060149396,0.116978443
AP2A2_MOUSE,B6_T0_fasted - B6_T0_fed,0.218450989,0.154039875,1.418145721,129,0.158559435,0.261930465
AP2B1_MOUSE,B6_T0_fasted - B6_T0_fed,0.138347609,0.15090363,0.916794442,200,0.360354534,0.488342604
AP2M1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.240890462,0.131095274,-1.837522101,160,0.067987734,0.129204905
AP3B1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AP4A_MOUSE,B6_T0_fasted - B6_T0_fed,-0.391830828,0.37120716,-1.055558376,103,0.293639665,0.422251072
APEH_MOUSE,B6_T0_fasted - B6_T0_fed,-0.717082305,0.229675614,-3.122152552,83,0.002471204,0.007596049
APEX1_MOUSE,B6_T0_fasted - B6_T0_fed,0.741546784,0.484690609,1.529938419,91,0.129500878,0.220283759
API5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.335146569,0.115428547,-2.903498112,50,0.005479181,0.01498188
APOA1_MOUSE,B6_T0_fasted - B6_T0_fed,1.560593624,0.102302024,15.25476775,201,0,0
APOA2_MOUSE,B6_T0_fasted - B6_T0_fed,1.173873042,0.097459785,12.04469144,156,0,0
APOA4_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
APOC1_MOUSE,B6_T0_fasted - B6_T0_fed,0.252617082,0.183527587,1.376452918,60,0.173796687,0.282265542
APOC2_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
APOC3_MOUSE,B6_T0_fasted - B6_T0_fed,0.547680223,0.15595884,3.511697214,88,0.000704871,0.002619319
APOE_MOUSE,B6_T0_fasted - B6_T0_fed,-0.317999022,0.110817765,-2.86956719,170,0.004632288,0.013015876
APOH_MOUSE,B6_T0_fasted - B6_T0_fed,0.62419394,0.187350299,3.33169438,80,0.001308427,0.004366191
APOOL_MOUSE,B6_T0_fasted - B6_T0_fed,-0.243580338,0.102860166,-2.368072566,236,0.018688052,0.042795639
APT_MOUSE,B6_T0_fasted - B6_T0_fed,-0.048420335,0.113504781,-0.426592907,225,0.670083736,0.760195262
AR6P1_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ARC1A_MOUSE,B6_T0_fasted - B6_T0_fed,-0.059469451,0.091514062,-0.649839481,177,0.516638393,0.636504059
ARC1B_MOUSE,B6_T0_fasted - B6_T0_fed,-0.209108886,0.062587247,-3.341078202,120,0.001112882,0.003820805
ARF1_MOUSE,B6_T0_fasted - B6_T0_fed,0.207210969,0.04602807,4.501839168,120,1.57E-05,8.97E-05
ARF4_MOUSE,B6_T0_fasted - B6_T0_fed,-0.199848455,0.092378985,-2.163354082,225,0.031567598,0.066934999
ARF5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.774148513,0.101806208,-7.604138556,120,7.08E-12,1.41E-10
ARF6_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ARFG1_MOUSE,B6_T0_fasted - B6_T0_fed,0.527144202,0.084724046,6.221895976,80,2.12E-08,2.16E-07
ARFG2_MOUSE,B6_T0_fasted - B6_T0_fed,-2.324616031,0.171603426,-13.54644304,55,0,0
ARGI1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.256422948,0.035439286,-7.23555618,216,7.98E-12,1.57E-10
ARHGC_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ARK72_MOUSE,B6_T0_fasted - B6_T0_fed,-0.012477877,0.0763868,-0.16335122,155,0.870454699,0.917533377
ARL1_MOUSE,B6_T0_fasted - B6_T0_fed,0.847307099,0.398415038,2.126694573,101,0.035881685,0.074869302
ARL3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.586776417,0.172798681,-3.395722774,75,0.001097368,0.003790608
ARLY_MOUSE,B6_T0_fasted - B6_T0_fed,0.053174017,0.051660847,1.029290444,200,0.304586378,0.433876514
ARMC1_MOUSE,B6_T0_fasted - B6_T0_fed,0.344618876,0.130684394,2.637031596,105,0.009632995,0.024341581
ARP2_MOUSE,B6_T0_fasted - B6_T0_fed,0.195717104,0.096599519,2.026067065,183,0.044209855,0.090292591
ARP3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.11469927,0.080826019,-1.419088448,164,0.157771009,0.261098905
ARPC2_MOUSE,B6_T0_fasted - B6_T0_fed,0.084741252,0.15795998,0.536472921,120,0.592624901,0.70089659
ARPC3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.473067573,0.11210935,-4.219697774,129,4.58E-05,0.000233572
ARPC4_MOUSE,B6_T0_fasted - B6_T0_fed,0.032304336,0.09657508,0.334499711,166,0.738424763,0.817398287
ARPC5_MOUSE,B6_T0_fasted - B6_T0_fed,-0.932205704,0.192070942,-4.853444741,100,4.48E-06,2.89E-05
ARS2_MOUSE,B6_T0_fasted - B6_T0_fed,0.502932349,0.378063234,1.330286319,115,0.186056039,0.298471684
ARSB_MOUSE,B6_T0_fasted - B6_T0_fed,-0.082723794,0.15554601,-0.531828453,25,0.599539479,0.704526188
ARY2_MOUSE,B6_T0_fasted - B6_T0_fed,0.555229683,0.334667442,1.659048994,74,0.101338743,0.179048715
AS3MT_MOUSE,B6_T0_fasted - B6_T0_fed,-0.714719864,0.117866326,-6.063817271,194,6.82E-09,7.76E-08
ASAH1_MOUSE,B6_T0_fasted - B6_T0_fed,-0.110634386,0.119480979,-0.925958145,105,0.356591094,0.486225626
ASGR1_MOUSE,B6_T0_fasted - B6_T0_fed,0.160205016,0.110264112,1.452920752,276,0.14738173,0.246831519
ASNA_MOUSE,B6_T0_fasted - B6_T0_fed,-0.500694984,0.132182701,-3.787900996,85,0.000282724,0.001179842
ASNS_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ASPD_MOUSE,B6_T0_fasted - B6_T0_fed,0.132299077,0.086820218,1.523827978,269,0.12872643,0.219169906
ASSY_MOUSE,B6_T0_fasted - B6_T0_fed,-0.08746635,0.133663198,-0.654378701,216,0.513563997,0.634422955
AT11C_MOUSE,B6_T0_fasted - B6_T0_fed,0.145850364,0.111968582,1.302600791,191,0.194279483,0.308958345
AT131_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
AT1A1_MOUSE,B6_T0_fasted - B6_T0_fed,0.170742015,0.083566937,2.043176652,227,0.042190096,0.086747762
AT1B1_MOUSE,B6_T0_fasted - B6_T0_fed,0.149680121,0.114691285,1.305069701,192,0.193431009,0.307876289
AT1B3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.282273446,0.142303023,-1.983608226,115,0.049682303,0.099364605
AT2A2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.459635442,0.173193551,-2.653883123,100,0.009257925,0.023589038
AT2L1_MOUSE,B6_T0_fasted - B6_T0_fed,0.063479574,0.11850453,0.535672132,134,0.593073148,0.700974198
AT5F1_MOUSE,B6_T0_fasted - B6_T0_fed,0.123869769,0.075401775,1.642796448,216,0.101879976,0.179638226
ATAD1_MOUSE,B6_T0_fasted - B6_T0_fed,0.021786888,0.144004314,0.151293302,175,0.879918614,0.923364253
ATAD3_MOUSE,B6_T0_fasted - B6_T0_fed,-0.134470634,0.251003753,-0.535731567,77,0.59368821,0.700980468
ATG3_MOUSE,B6_T0_fasted - B6_T0_fed,0.003793456,0.188454331,0.020129311,151,0.983966792,0.990454486
ATG4B_MOUSE,B6_T0_fasted - B6_T0_fed,NA,NA,NA,NA,NA,NA
ATG7_MOUSE,B6_T0_fasted - B6_T0_fed,0.181819353,0.296028136,0.61419619,52,0.541763691,0.658163848
ATLA2_MOUSE,B6_T0_fasted - B6_T0_fed,-0.557774968,0.096180836,-5.799231843,206,2.48E-08,2.45E-07
