Gene_A	Gene_B
MED4_MOUSE	ZGPAT_MOUSE
DPY30_MOUSE	ZGPAT_MOUSE
AXIN2_MOUSE	ZBT46_MOUSE
SUMO1_MOUSE	ZBT46_MOUSE
OPRM_MOUSE	OPRX_MOUSE
NR2F6_MOUSE	OPRX_MOUSE
EAA1_MOUSE	OPRX_MOUSE
TRPV1_MOUSE	OPRX_MOUSE
PTGDS_MOUSE	OPRX_MOUSE
MYO1C_MOUSE	OPRX_MOUSE
RAC3_MOUSE	OPRX_MOUSE
GRIA1_MOUSE	OPRX_MOUSE
S26A4_MOUSE	OPRX_MOUSE
APOD_MOUSE	OPRX_MOUSE
ARSA_MOUSE	OPRX_MOUSE
PO4F3_MOUSE	OPRX_MOUSE
GNA14_MOUSE	OPRX_MOUSE
TMC1_MOUSE	OPRX_MOUSE
CCR1_MOUSE	OPRX_MOUSE
KAP1_MOUSE	OPRX_MOUSE
GRIA4_MOUSE	OPRX_MOUSE
S40A1_MOUSE	OPRX_MOUSE
PPM1F_MOUSE	OPRX_MOUSE
VANG2_MOUSE	OPRX_MOUSE
BARH1_MOUSE	OPRX_MOUSE
SFRP3_MOUSE	OPRX_MOUSE
MAP1A_MOUSE	OPRX_MOUSE
PIMT_MOUSE	PCMD2_MOUSE
SPG7_MOUSE	RALY_MOUSE
IL4_MOUSE	RALY_MOUSE
TIF1B_MOUSE	RALY_MOUSE
IL3_MOUSE	RALY_MOUSE
SCF_MOUSE	RALY_MOUSE
TFE3_MOUSE	ASIP_MOUSE
FOXN1_MOUSE	ASIP_MOUSE
TYRO_MOUSE	ASIP_MOUSE
AGRP_MOUSE	ASIP_MOUSE
TYRP1_MOUSE	ASIP_MOUSE
GGT1_MOUSE	ASIP_MOUSE
APLP1_MOUSE	ASIP_MOUSE
MC5R_MOUSE	ASIP_MOUSE
ATOX1_MOUSE	ASIP_MOUSE
SCF_MOUSE	ASIP_MOUSE
ASCL1_MOUSE	ASIP_MOUSE
COLI_MOUSE	ASIP_MOUSE
EDNRB_MOUSE	ASIP_MOUSE
TYRP2_MOUSE	ASIP_MOUSE
TGM1_MOUSE	ASIP_MOUSE
S45A2_MOUSE	ASIP_MOUSE
ATS20_MOUSE	ASIP_MOUSE
CLD1_MOUSE	ASIP_MOUSE
MGRN1_MOUSE	ASIP_MOUSE
MELPH_MOUSE	ASIP_MOUSE
SPTA1_MOUSE	ASIP_MOUSE
ATRN_MOUSE	ASIP_MOUSE
B2L11_MOUSE	ASIP_MOUSE
ATN1_MOUSE	ITCH_MOUSE
TAXB1_MOUSE	ITCH_MOUSE
TRPV4_MOUSE	ITCH_MOUSE
LNX2_MOUSE	ITCH_MOUSE
RIPK1_MOUSE	ITCH_MOUSE
RBP1_MOUSE	ITCH_MOUSE
NFIP1_MOUSE	ITCH_MOUSE
SMAD2_MOUSE	ITCH_MOUSE
P4K2A_MOUSE	ITCH_MOUSE
CFLAR_MOUSE	ITCH_MOUSE
NOTC1_MOUSE	ITCH_MOUSE
ATOX1_MOUSE	ARMC1_MOUSE
MTFR2_MOUSE	MTFR1_MOUSE
PIAS4_MOUSE	MLP3A_MOUSE
CACO2_MOUSE	MLP3A_MOUSE
NBR1_MOUSE	MLP3A_MOUSE
GBRAP_MOUSE	MLP3A_MOUSE
ATG10_MOUSE	MLP3A_MOUSE
BNI3L_MOUSE	MLP3A_MOUSE
ATG3_MOUSE	MLP3A_MOUSE
DLG1_MOUSE	MLP3A_MOUSE
SYUA_MOUSE	MLP3A_MOUSE
ATG4B_MOUSE	MLP3A_MOUSE
MAP1A_MOUSE	MLP3A_MOUSE
GGT5_MOUSE	GGT7_MOUSE
GGT1_MOUSE	GGT7_MOUSE
MAAI_MOUSE	GSHB_MOUSE
CDC45_MOUSE	EPCR_MOUSE
STK11_MOUSE	EPCR_MOUSE
CERU_MOUSE	EPCR_MOUSE
TIF1B_MOUSE	EPCR_MOUSE
GABPA_MOUSE	EPCR_MOUSE
DCOR_MOUSE	EPCR_MOUSE
TOP2B_MOUSE	EPCR_MOUSE
SUZ12_MOUSE	EPCR_MOUSE
HNF4A_MOUSE	EPCR_MOUSE
NSMA_MOUSE	EPCR_MOUSE
K1C19_MOUSE	EPCR_MOUSE
SMAD5_MOUSE	EPCR_MOUSE
DEMA_MOUSE	EPCR_MOUSE
HAS2_MOUSE	EPCR_MOUSE
FAK1_MOUSE	EPCR_MOUSE
PROS_MOUSE	EPCR_MOUSE
EPB42_MOUSE	EPCR_MOUSE
TFEB_MOUSE	EPCR_MOUSE
PROC_MOUSE	EPCR_MOUSE
TERF1_MOUSE	EPCR_MOUSE
5HT2B_MOUSE	EPCR_MOUSE
NR5A2_MOUSE	EPCR_MOUSE
EGLN_MOUSE	EPCR_MOUSE
RBMS1_MOUSE	EPCR_MOUSE
THRB_MOUSE	EPCR_MOUSE
OPRM_MOUSE	MMP24_MOUSE
GRIA3_MOUSE	MMP24_MOUSE
NR2F6_MOUSE	MMP24_MOUSE
HMOX2_MOUSE	MMP24_MOUSE
TRPV1_MOUSE	MMP24_MOUSE
AT1A2_MOUSE	MMP24_MOUSE
TRPV4_MOUSE	MMP24_MOUSE
PTGDS_MOUSE	MMP24_MOUSE
S12A5_MOUSE	MMP24_MOUSE
RAC3_MOUSE	MMP24_MOUSE
GRIA1_MOUSE	MMP24_MOUSE
ACY2_MOUSE	MMP24_MOUSE
SC6A4_MOUSE	MMP24_MOUSE
CAN7_MOUSE	MMP24_MOUSE
SC5A7_MOUSE	MMP24_MOUSE
5HT7R_MOUSE	MMP24_MOUSE
KAP1_MOUSE	MMP24_MOUSE
GRIA4_MOUSE	MMP24_MOUSE
KLF7_MOUSE	MMP24_MOUSE
S40A1_MOUSE	MMP24_MOUSE
PPM1F_MOUSE	MMP24_MOUSE
SFRP3_MOUSE	MMP24_MOUSE
OPRX_MOUSE	MMP24_MOUSE
AKTS1_MOUSE	IF6_MOUSE
GBLP_MOUSE	IF6_MOUSE
SEPT3_MOUSE	IF6_MOUSE
XRN2_MOUSE	IF6_MOUSE
HPS5_MOUSE	HPS3_MOUSE
SYHC_MOUSE	NFS1_MOUSE
ETFB_MOUSE	NFS1_MOUSE
C11B2_MOUSE	NFS1_MOUSE
ISCU_MOUSE	NFS1_MOUSE
KYNU_MOUSE	NFS1_MOUSE
RAC1_MOUSE	RBM39_MOUSE
TOP3A_MOUSE	RBM39_MOUSE
CP17A_MOUSE	RBM39_MOUSE
DNJA3_MOUSE	RBM39_MOUSE
CDC42_MOUSE	RBM39_MOUSE
MPRD_MOUSE	RBM39_MOUSE
FNBP4_MOUSE	RBM39_MOUSE
4F2_MOUSE	RBM39_MOUSE
RBM25_MOUSE	RBM39_MOUSE
VA0D1_MOUSE	RBM39_MOUSE
WNT11_MOUSE	RBM39_MOUSE
KFA_MOUSE	RBM39_MOUSE
PROF1_MOUSE	RBM39_MOUSE
DYHC1_MOUSE	RBM39_MOUSE
DX39B_MOUSE	RBM39_MOUSE
MYPT1_MOUSE	RBM39_MOUSE
NMT1_MOUSE	RBM39_MOUSE
ESR2_MOUSE	RBM39_MOUSE
BARX1_MOUSE	RBM39_MOUSE
IPPK_MOUSE	RBM39_MOUSE
CLD1_MOUSE	RBM39_MOUSE
ARC_MOUSE	RBM39_MOUSE
AP2M1_MOUSE	RBM39_MOUSE
ITSN1_MOUSE	RBM39_MOUSE
TF65_MOUSE	RBM39_MOUSE
CASP7_MOUSE	RBM39_MOUSE
FAS_MOUSE	RBM39_MOUSE
MARH7_MOUSE	RBM39_MOUSE
SSRP1_MOUSE	RBM39_MOUSE
NEU1_MOUSE	RBM39_MOUSE
VAC14_MOUSE	AAR2_MOUSE
CSF1_MOUSE	AAR2_MOUSE
IMB1_MOUSE	TBL1R_MOUSE
EMD_MOUSE	TBL1R_MOUSE
TBL1X_MOUSE	TBL1R_MOUSE
GSTT1_MOUSE	NDRG3_MOUSE
INSI2_MOUSE	NDRG3_MOUSE
NDRG2_MOUSE	NDRG3_MOUSE
NDRG1_MOUSE	NDRG3_MOUSE
MYOD1_MOUSE	NDRG3_MOUSE
PHX2B_MOUSE	NDRG3_MOUSE
PP1B_MOUSE	NDRG3_MOUSE
KFA_MOUSE	NDRG3_MOUSE
B4GT5_MOUSE	NDRG3_MOUSE
PERP_MOUSE	NDRG3_MOUSE
DDC_MOUSE	NDRG3_MOUSE
OFUT2_MOUSE	NDRG3_MOUSE
FUT8_MOUSE	NDRG3_MOUSE
AQP2_MOUSE	NDRG3_MOUSE
CBS_MOUSE	NDRG3_MOUSE
TF7L2_MOUSE	NDRG3_MOUSE
KITH_MOUSE	NDRG3_MOUSE
CO7A1_MOUSE	NDRG3_MOUSE
PLK4_MOUSE	NDRG3_MOUSE
JADE1_MOUSE	NDRG3_MOUSE
ADA23_MOUSE	NDRG3_MOUSE
ERR3_MOUSE	NDRG3_MOUSE
CBX5_MOUSE	DSN1_MOUSE
ZWINT_MOUSE	DSN1_MOUSE
CASC5_MOUSE	DSN1_MOUSE
CD3H_MOUSE	SLAP2_MOUSE
CSF1_MOUSE	SLAP2_MOUSE
EGFR_MOUSE	SLAP2_MOUSE
SLAP1_MOUSE	SLAP2_MOUSE
ZAP70_MOUSE	SLAP2_MOUSE
PCBP3_MOUSE	CT024_MOUSE
SLBP_MOUSE	RBL1_MOUSE
PAX3_MOUSE	RBL1_MOUSE
E2F4_MOUSE	RBL1_MOUSE
VSX2_MOUSE	RBL1_MOUSE
RB_MOUSE	RBL1_MOUSE
NR4A1_MOUSE	RBL1_MOUSE
RBBP9_MOUSE	RBL1_MOUSE
E2F5_MOUSE	RBL1_MOUSE
DJB11_MOUSE	RPN2_MOUSE
GORS2_MOUSE	RPN2_MOUSE
PO5F1_MOUSE	RPN2_MOUSE
CCND2_MOUSE	SLIB_MOUSE
GLUC_MOUSE	SLIB_MOUSE
AIRE_MOUSE	SLIB_MOUSE
STA5A_MOUSE	SLIB_MOUSE
GHRHR_MOUSE	SLIB_MOUSE
NCPR_MOUSE	SLIB_MOUSE
ATP7B_MOUSE	SLIB_MOUSE
GIP_MOUSE	SLIB_MOUSE
MERTK_MOUSE	SLIB_MOUSE
GDF9_MOUSE	SLIB_MOUSE
S22A5_MOUSE	SLIB_MOUSE
VIP_MOUSE	SLIB_MOUSE
SOMA_MOUSE	SLIB_MOUSE
ACOX1_MOUSE	SLIB_MOUSE
STA5B_MOUSE	SLIB_MOUSE
TKT_MOUSE	SLIB_MOUSE
ABCG8_MOUSE	SLIB_MOUSE
PACA_MOUSE	SLIB_MOUSE
DHB4_MOUSE	SLIB_MOUSE
PTSS2_MOUSE	SLIB_MOUSE
ABCBB_MOUSE	SLIB_MOUSE
FSHB_MOUSE	SLIB_MOUSE
MNT_MOUSE	SRC_MOUSE
GALT1_MOUSE	SRC_MOUSE
SOX9_MOUSE	SRC_MOUSE
EFNB2_MOUSE	SRC_MOUSE
AKT1_MOUSE	SRC_MOUSE
CD97_MOUSE	SRC_MOUSE
INSR_MOUSE	SRC_MOUSE
CN37_MOUSE	SRC_MOUSE
PHX2A_MOUSE	SRC_MOUSE
BCR_MOUSE	SRC_MOUSE
CSF1_MOUSE	SRC_MOUSE
EPS8_MOUSE	SRC_MOUSE
KCNQ2_MOUSE	SRC_MOUSE
ERBB3_MOUSE	SRC_MOUSE
EGFR_MOUSE	SRC_MOUSE
SHC2_MOUSE	SRC_MOUSE
HCN2_MOUSE	SRC_MOUSE
GBLP_MOUSE	SRC_MOUSE
ITB3_MOUSE	SRC_MOUSE
FOXG1_MOUSE	SRC_MOUSE
FUT8_MOUSE	SRC_MOUSE
TGFB3_MOUSE	SRC_MOUSE
FDFT_MOUSE	SRC_MOUSE
SHC3_MOUSE	SRC_MOUSE
FAK1_MOUSE	SRC_MOUSE
TRBP2_MOUSE	SRC_MOUSE
GUC2A_MOUSE	SRC_MOUSE
CSF1R_MOUSE	SRC_MOUSE
VILI_MOUSE	SRC_MOUSE
ANFC_MOUSE	SRC_MOUSE
BMI1_MOUSE	SRC_MOUSE
NMDZ1_MOUSE	SRC_MOUSE
TRAF6_MOUSE	SRC_MOUSE
ACTN3_MOUSE	CTBL1_MOUSE
PNPT1_MOUSE	CTBL1_MOUSE
HACL1_MOUSE	CTBL1_MOUSE
CACO1_MOUSE	CTBL1_MOUSE
GCP4_MOUSE	RPR1B_MOUSE
MARE1_MOUSE	RPR1B_MOUSE
FA83F_MOUSE	FA83D_MOUSE
RFA1_MOUSE	SKIL_MOUSE
BC11A_MOUSE	SKIL_MOUSE
KMT2A_MOUSE	SKIL_MOUSE
SPI1_MOUSE	SKIL_MOUSE
NQO1_MOUSE	SKIL_MOUSE
NID1_MOUSE	SKIL_MOUSE
MMP8_MOUSE	SKIL_MOUSE
TPOR_MOUSE	SKIL_MOUSE
ID3_MOUSE	SKIL_MOUSE
EWS_MOUSE	SKIL_MOUSE
PD1L2_MOUSE	SKIL_MOUSE
IKZF3_MOUSE	SKIL_MOUSE
SMUF2_MOUSE	SKIL_MOUSE
IL3_MOUSE	SKIL_MOUSE
TFE2_MOUSE	SKIL_MOUSE
FZR_MOUSE	SKIL_MOUSE
IRF4_MOUSE	SKIL_MOUSE
GCNT2_MOUSE	SKIL_MOUSE
XRCC4_MOUSE	SKIL_MOUSE
DOK2_MOUSE	SKIL_MOUSE
SKOR1_MOUSE	SKIL_MOUSE
FAK1_MOUSE	SKIL_MOUSE
PRKDC_MOUSE	SKIL_MOUSE
UBP25_MOUSE	SKIL_MOUSE
GRAA_MOUSE	SKIL_MOUSE
HEM0_MOUSE	SKIL_MOUSE
DACH2_MOUSE	SKIL_MOUSE
UIMC1_MOUSE	SKIL_MOUSE
NRAM1_MOUSE	SKIL_MOUSE
GLNA_MOUSE	SKIL_MOUSE
P5CR2_MOUSE	SKIL_MOUSE
I36RA_MOUSE	SKIL_MOUSE
DHSD_MOUSE	PK3CA_MOUSE
S10A4_MOUSE	PK3CA_MOUSE
MK07_MOUSE	PK3CA_MOUSE
OCRL_MOUSE	PK3CA_MOUSE
PON1_MOUSE	PK3CA_MOUSE
AP1M1_MOUSE	PK3CA_MOUSE
RD23A_MOUSE	PK3CA_MOUSE
MP2K1_MOUSE	PK3CA_MOUSE
KLF5_MOUSE	PK3CA_MOUSE
AGRP_MOUSE	PK3CA_MOUSE
TPOR_MOUSE	PK3CA_MOUSE
EPHA2_MOUSE	PK3CA_MOUSE
NUCG_MOUSE	PK3CA_MOUSE
SDC4_MOUSE	PK3CA_MOUSE
SUZ12_MOUSE	PK3CA_MOUSE
TBX5_MOUSE	PK3CA_MOUSE
RA51D_MOUSE	PK3CA_MOUSE
LIMS1_MOUSE	PK3CA_MOUSE
DP13B_MOUSE	PK3CA_MOUSE
PK3CG_MOUSE	PK3CA_MOUSE
TERT_MOUSE	PK3CA_MOUSE
HMDH_MOUSE	PK3CA_MOUSE
SCAM1_MOUSE	PK3CA_MOUSE
AP2M1_MOUSE	PK3CA_MOUSE
RCAN1_MOUSE	PK3CA_MOUSE
IC1_MOUSE	PK3CA_MOUSE
HS90B_MOUSE	PK3CA_MOUSE
BIRC6_MOUSE	PK3CA_MOUSE
EPAS1_MOUSE	PK3CA_MOUSE
BIN1_MOUSE	PK3CA_MOUSE
ARBK1_MOUSE	PK3CA_MOUSE
FBLN4_MOUSE	PK3CA_MOUSE
RASH_MOUSE	PK3CA_MOUSE
CASPC_MOUSE	PK3CA_MOUSE
DLL4_MOUSE	PK3CA_MOUSE
SPIT1_MOUSE	PK3CA_MOUSE
S27A2_MOUSE	PK3CA_MOUSE
ACV1B_MOUSE	MFN1_MOUSE
SP1_MOUSE	MFN1_MOUSE
RAC1_MOUSE	MFN1_MOUSE
NU214_MOUSE	MFN1_MOUSE
XPO2_MOUSE	MFN1_MOUSE
CUL3_MOUSE	MFN1_MOUSE
PLOD3_MOUSE	MFN1_MOUSE
MP2K1_MOUSE	MFN1_MOUSE
ZBT17_MOUSE	MFN1_MOUSE
APLP1_MOUSE	MFN1_MOUSE
KINH_MOUSE	MFN1_MOUSE
WNT2_MOUSE	MFN1_MOUSE
SUZ12_MOUSE	MFN1_MOUSE
AATF_MOUSE	MFN1_MOUSE
LIMS1_MOUSE	MFN1_MOUSE
TRXR1_MOUSE	MFN1_MOUSE
UBE2B_MOUSE	MFN1_MOUSE
HUS1_MOUSE	MFN1_MOUSE
DLDH_MOUSE	MFN1_MOUSE
KAT2A_MOUSE	MFN1_MOUSE
TISB_MOUSE	MFN1_MOUSE
ZFR_MOUSE	MFN1_MOUSE
RRN3_MOUSE	MFN1_MOUSE
AP2M1_MOUSE	MFN1_MOUSE
MARH5_MOUSE	MFN1_MOUSE
E4F1_MOUSE	MFN1_MOUSE
TF65_MOUSE	MFN1_MOUSE
PLK4_MOUSE	MFN1_MOUSE
HGS_MOUSE	MFN1_MOUSE
CSN5_MOUSE	MFN1_MOUSE
ACVR1_MOUSE	MFN1_MOUSE
ADCY1_MOUSE	GBB4_MOUSE
GBG4_MOUSE	GBB4_MOUSE
GBB3_MOUSE	GBB4_MOUSE
GBG13_MOUSE	GBB4_MOUSE
DCSTP_MOUSE	OCSTP_MOUSE
SNF5_MOUSE	ACL6A_MOUSE
DMAP1_MOUSE	ACL6A_MOUSE
PO5F1_MOUSE	ACL6A_MOUSE
SMCA2_MOUSE	ACL6A_MOUSE
KAT5_MOUSE	ACL6A_MOUSE
AF10_MOUSE	ACL6A_MOUSE
AT5F1_MOUSE	NDUB5_MOUSE
B9D1_MOUSE	NDUB5_MOUSE
NDUB2_MOUSE	NDUB5_MOUSE
NDUA2_MOUSE	NDUB5_MOUSE
MDHM_MOUSE	NDUB5_MOUSE
SNX13_MOUSE	NDUB5_MOUSE
TKT_MOUSE	NDUB5_MOUSE
ATPO_MOUSE	NDUB5_MOUSE
NDUA5_MOUSE	NDUB5_MOUSE
NDUV2_MOUSE	NDUB5_MOUSE
SYUA_MOUSE	NDUB5_MOUSE
NDUA8_MOUSE	NDUB5_MOUSE
HCN1_MOUSE	PEX5R_MOUSE
KMT2A_MOUSE	TTC14_MOUSE
GRP75_MOUSE	TIM14_MOUSE
MKRN2_MOUSE	FXR1_MOUSE
DNJC5_MOUSE	FXR1_MOUSE
NAPSA_MOUSE	FXR1_MOUSE
DNS2A_MOUSE	FXR1_MOUSE
NLK_MOUSE	FXR1_MOUSE
MAFK_MOUSE	FXR1_MOUSE
SRSF1_MOUSE	FXR1_MOUSE
LX12L_MOUSE	FXR1_MOUSE
CYFP2_MOUSE	FXR1_MOUSE
PPM1D_MOUSE	FXR1_MOUSE
DNM3A_MOUSE	FXR1_MOUSE
NOS2_MOUSE	FXR1_MOUSE
IL6RB_MOUSE	FXR1_MOUSE
SFTPD_MOUSE	FXR1_MOUSE
LDB3_MOUSE	FXR1_MOUSE
PP2BB_MOUSE	FXR1_MOUSE
FGF9_MOUSE	FXR1_MOUSE
FOG2_MOUSE	FXR1_MOUSE
FCL_MOUSE	FXR1_MOUSE
LY6E_MOUSE	FXR1_MOUSE
XDH_MOUSE	FXR1_MOUSE
LYOX_MOUSE	FXR1_MOUSE
MARK2_MOUSE	FXR1_MOUSE
MYBA_MOUSE	FXR1_MOUSE
STAM1_MOUSE	FXR1_MOUSE
PRG2_MOUSE	FXR1_MOUSE
TBX2_MOUSE	EVI1_MOUSE
TBX4_MOUSE	EVI1_MOUSE
LHX2_MOUSE	EVI1_MOUSE
CADH4_MOUSE	EVI1_MOUSE
KRIT1_MOUSE	EVI1_MOUSE
KAT2B_MOUSE	EVI1_MOUSE
MEOX1_MOUSE	EVI1_MOUSE
PLAK_MOUSE	EVI1_MOUSE
FOSB_MOUSE	EVI1_MOUSE
CLCN5_MOUSE	EVI1_MOUSE
PEX5_MOUSE	EVI1_MOUSE
CORIN_MOUSE	EVI1_MOUSE
MEF2C_MOUSE	EVI1_MOUSE
MTDC_MOUSE	EVI1_MOUSE
GATA6_MOUSE	EVI1_MOUSE
ACE2_MOUSE	EVI1_MOUSE
APH1A_MOUSE	EVI1_MOUSE
FLI1_MOUSE	EVI1_MOUSE
MED24_MOUSE	EVI1_MOUSE
KIF3A_MOUSE	EVI1_MOUSE
WNT9B_MOUSE	EVI1_MOUSE
LHX1_MOUSE	EVI1_MOUSE
HEY2_MOUSE	EVI1_MOUSE
FRS2_MOUSE	EVI1_MOUSE
SPTB2_MOUSE	EVI1_MOUSE
AEBP1_MOUSE	EVI1_MOUSE
M3K3_MOUSE	EVI1_MOUSE
FOS_MOUSE	EVI1_MOUSE
RAD17_MOUSE	EVI1_MOUSE
K1C18_MOUSE	EVI1_MOUSE
NFAC4_MOUSE	EVI1_MOUSE
PTK7_MOUSE	EVI1_MOUSE
DC2L1_MOUSE	EVI1_MOUSE
SMAD2_MOUSE	EVI1_MOUSE
ACOD2_MOUSE	EVI1_MOUSE
NRP1_MOUSE	EVI1_MOUSE
KEAP1_MOUSE	GTR2_MOUSE
GYS1_MOUSE	GTR2_MOUSE
HOME1_MOUSE	GTR2_MOUSE
NUP50_MOUSE	GTR2_MOUSE
GTR4_MOUSE	GTR2_MOUSE
KS6B1_MOUSE	GTR2_MOUSE
ID2_MOUSE	GTR2_MOUSE
RPH3L_MOUSE	GTR2_MOUSE
NEC1_MOUSE	GTR2_MOUSE
C11B2_MOUSE	GTR2_MOUSE
LSHR_MOUSE	GTR2_MOUSE
COL_MOUSE	GTR2_MOUSE
UTER_MOUSE	GTR2_MOUSE
TF7L2_MOUSE	GTR2_MOUSE
GLR_MOUSE	GTR2_MOUSE
HOME2_MOUSE	GTR2_MOUSE
ATF3_MOUSE	GTR2_MOUSE
MEIS2_MOUSE	GTR2_MOUSE
NKX22_MOUSE	GTR2_MOUSE
TRAF2_MOUSE	TNIK_MOUSE
DBF4A_MOUSE	ECT2_MOUSE
TOP3A_MOUSE	ECT2_MOUSE
CP17A_MOUSE	ECT2_MOUSE
KI20A_MOUSE	ECT2_MOUSE
DNJA3_MOUSE	ECT2_MOUSE
PAR6A_MOUSE	ECT2_MOUSE
CDC42_MOUSE	ECT2_MOUSE
MPRD_MOUSE	ECT2_MOUSE
4F2_MOUSE	ECT2_MOUSE
VA0D1_MOUSE	ECT2_MOUSE
WNT11_MOUSE	ECT2_MOUSE
BIRC5_MOUSE	ECT2_MOUSE
KFA_MOUSE	ECT2_MOUSE
PROF1_MOUSE	ECT2_MOUSE
DYHC1_MOUSE	ECT2_MOUSE
MYPT1_MOUSE	ECT2_MOUSE
CDK1_MOUSE	ECT2_MOUSE
NMT1_MOUSE	ECT2_MOUSE
BARX1_MOUSE	ECT2_MOUSE
IPPK_MOUSE	ECT2_MOUSE
CLD1_MOUSE	ECT2_MOUSE
ARC_MOUSE	ECT2_MOUSE
ITSN1_MOUSE	ECT2_MOUSE
RGAP1_MOUSE	ECT2_MOUSE
CASP7_MOUSE	ECT2_MOUSE
FAS_MOUSE	ECT2_MOUSE
PLK4_MOUSE	ECT2_MOUSE
KLH20_MOUSE	ECT2_MOUSE
SSRP1_MOUSE	ECT2_MOUSE
NUSAP_MOUSE	ECT2_MOUSE
AURKA_MOUSE	ECT2_MOUSE
RBM39_MOUSE	ECT2_MOUSE
CIC_MOUSE	SEC62_MOUSE
SEC63_MOUSE	SEC62_MOUSE
PTC1_MOUSE	SEC62_MOUSE
DDX41_MOUSE	SEC62_MOUSE
DAZP2_MOUSE	DCNL1_MOUSE
UBC12_MOUSE	DCNL1_MOUSE
RBX1_MOUSE	DCNL1_MOUSE
ODB2_MOUSE	MCCA_MOUSE
ACACA_MOUSE	MCCA_MOUSE
ODPB_MOUSE	MCCA_MOUSE
CPSM_MOUSE	MCCA_MOUSE
GCDH_MOUSE	ACAD9_MOUSE
ACADV_MOUSE	ACAD9_MOUSE
ACADL_MOUSE	ACAD9_MOUSE
IVD_MOUSE	ACAD9_MOUSE
CD97_MOUSE	ANXA5_MOUSE
BCAM_MOUSE	ANXA5_MOUSE
GRM3_MOUSE	ANXA5_MOUSE
TEP1_MOUSE	ANXA5_MOUSE
MTMR1_MOUSE	ANXA5_MOUSE
ANXA9_MOUSE	ANXA5_MOUSE
ANXA6_MOUSE	ANXA5_MOUSE
AL3A1_MOUSE	ANXA5_MOUSE
SPT4A_MOUSE	ANXA5_MOUSE
MRC2_MOUSE	ANXA5_MOUSE
FDFT_MOUSE	ANXA5_MOUSE
ASPP1_MOUSE	ANXA5_MOUSE
NID2_MOUSE	ANXA5_MOUSE
ANXA7_MOUSE	ANXA5_MOUSE
ANX11_MOUSE	ANXA5_MOUSE
GL8D1_MOUSE	ANXA5_MOUSE
ANXA8_MOUSE	ANXA5_MOUSE
ITSN1_MOUSE	ANXA5_MOUSE
E41L3_MOUSE	ANXA5_MOUSE
ANXA1_MOUSE	ANXA5_MOUSE
CD5_MOUSE	ANXA5_MOUSE
MINP1_MOUSE	ANXA5_MOUSE
TDT_MOUSE	ANXA5_MOUSE
PASK_MOUSE	ANXA5_MOUSE
PKP4_MOUSE	ANXA5_MOUSE
UBC9_MOUSE	EXOS9_MOUSE
DX39B_MOUSE	EXOS9_MOUSE
RPP30_MOUSE	EXOS9_MOUSE
SBDS_MOUSE	EXOS9_MOUSE
EXOS7_MOUSE	EXOS9_MOUSE
CADH1_MOUSE	CCNA2_MOUSE
CCNE1_MOUSE	CCNA2_MOUSE
PRS6A_MOUSE	CCNA2_MOUSE
PAXI1_MOUSE	CCNA2_MOUSE
FLII_MOUSE	CCNA2_MOUSE
LAMB1_MOUSE	CCNA2_MOUSE
CDN1B_MOUSE	CCNA2_MOUSE
CDC20_MOUSE	CCNA2_MOUSE
CDT1_MOUSE	CCNA2_MOUSE
ASCL2_MOUSE	CCNA2_MOUSE
NANOG_MOUSE	CCNA2_MOUSE
KIF11_MOUSE	CCNA2_MOUSE
EHMT2_MOUSE	CCNA2_MOUSE
E2F3_MOUSE	CCNA2_MOUSE
BRCA1_MOUSE	CCNA2_MOUSE
CDC6_MOUSE	CCNA2_MOUSE
BIRC5_MOUSE	CCNA2_MOUSE
MYBB_MOUSE	CCNA2_MOUSE
CSN3_MOUSE	CCNA2_MOUSE
CDK1_MOUSE	CCNA2_MOUSE
LAP2A_MOUSE	CCNA2_MOUSE
VP26A_MOUSE	CCNA2_MOUSE
PESC_MOUSE	CCNA2_MOUSE
ACACA_MOUSE	CCNA2_MOUSE
RIR2_MOUSE	CCNA2_MOUSE
AURKB_MOUSE	CCNA2_MOUSE
MAT1_MOUSE	CCNA2_MOUSE
RB_MOUSE	CCNA2_MOUSE
WNT7B_MOUSE	CCNA2_MOUSE
HIRA_MOUSE	CCNA2_MOUSE
RGAP1_MOUSE	CCNA2_MOUSE
GCM1_MOUSE	CCNA2_MOUSE
TAF8_MOUSE	CCNA2_MOUSE
NFYA_MOUSE	CCNA2_MOUSE
CXXC1_MOUSE	CCNA2_MOUSE
INCE_MOUSE	CCNA2_MOUSE
RAD9A_MOUSE	CCNA2_MOUSE
NC2A_MOUSE	CCNA2_MOUSE
PLCB3_MOUSE	CCNA2_MOUSE
CDK2_MOUSE	CCNA2_MOUSE
E41L5_MOUSE	CCNA2_MOUSE
ELYS_MOUSE	CCNA2_MOUSE
NCKP1_MOUSE	CCNA2_MOUSE
CSN2_MOUSE	CCNA2_MOUSE
RAD51_MOUSE	CCNA2_MOUSE
E2F1_MOUSE	CCNA2_MOUSE
AURKA_MOUSE	CCNA2_MOUSE
CD97_MOUSE	IL21_MOUSE
BCAM_MOUSE	IL21_MOUSE
GRM3_MOUSE	IL21_MOUSE
TEP1_MOUSE	IL21_MOUSE
MTMR1_MOUSE	IL21_MOUSE
AL3A1_MOUSE	IL21_MOUSE
MRC2_MOUSE	IL21_MOUSE
ASPP1_MOUSE	IL21_MOUSE
IRF4_MOUSE	IL21_MOUSE
NID2_MOUSE	IL21_MOUSE
